fingerprint, ipaddr, port
054AF5AE5DA4AA0B81D7155542AF204252CB6D61, 2603:c022:c002:b0e:f620:461d:1cc1:fa75, 9001
055AB95A2AEF35E0002F529D86D76B03367A4A88, 5.181.80.63, 9001
055E80BB136455C323FA75B99480E6E9680F39D5, 178.175.131.141, 6564
05733EF816DCCF2811D8A67560C3654932E110BD, 107.189.10.138, 9001
0577DE2890FB909C459E056CD41414A8C6C110D3, 96.255.23.226, 9003
058B34B7D0E4A08AD7535D07A37AA19C8B829E1E, 141.147.117.168, 9001
0592215141240DD9854247C9E162A72E3A64834A, 67.219.107.200, 443
0592215141240DD9854247C9E162A72E3A64834A, 2401:c080:2000:2617:3eec:efff:feb9:c84e, 443
059D7E096C6AC7CED321EE93D77DA26ABD989BFF, 51.81.209.9, 9001
059D7E096C6AC7CED321EE93D77DA26ABD989BFF, 2604:2dc0:202:300::40e, 9001
05B142AB4FCBC01482B9C8F6588B221C2E193EEF, 121.50.43.135, 443
05C32C5EE14454E0C4CD81DAE0F3DC32F729DA4B, 144.76.86.5, 8080
05C32C5EE14454E0C4CD81DAE0F3DC32F729DA4B, 2a01:4f8:192:1318::2, 8080
05E15FF6930D656BB85744263D556657280D822E, 51.195.166.174, 443
05F5657B59EC7C97EBB5C1A3F4F122119E0B08D1, 162.237.207.53, 443
05F5657B59EC7C97EBB5C1A3F4F122119E0B08D1, 2600:1700:131:c1::465, 443
060B23F4DB9242ED0BD8C62976F3F51CE474CE99, 23.237.74.106, 443
0625BCA64F30EC2E1AC1C5021E651074257C2908, 192.42.116.187, 9000
0625BCA64F30EC2E1AC1C5021E651074257C2908, 2001:67c:6ec:203:192:42:116:187, 9000
0632EC43FEA8EA3F377FE2E34DA671746F1642DD, 45.141.215.95, 143
064D183D34DECB84F72C4335B0C24D1E8946A9BA, 95.98.44.166, 9001
064D183D34DECB84F72C4335B0C24D1E8946A9BA, 2001:470:1f0a:716::2, 9001
066FE3C4E07A18EA53B2828F753D3788D58D771D, 102.130.113.42, 9001
069BAC41BA2E48349E0AFE420FB3C7CDD29EC8A5, 172.245.23.98, 8081
06A64BF11983B8323FF7EEDCE5C35A0543523B54, 185.243.218.110, 15443
06A64BF11983B8323FF7EEDCE5C35A0543523B54, 2a03:94e0:ffff:185:243:218:0:110, 15443
06B0DAAFB86622AA43669335398CAE76BCD7359B, 209.133.193.6, 8443
06C397676A6407BDE1C8836FC49CD42F38B8082E, 5.9.66.94, 54782
06C397676A6407BDE1C8836FC49CD42F38B8082E, 2a01:4f8:161:7148::2, 54782
06EC2C1669E5A811D9640E07CED5786DA50C5737, 185.220.100.245, 9000
06EC2C1669E5A811D9640E07CED5786DA50C5737, 2a0b:f4c0:16c:11::1, 9000
06FA520E5E79D7587AFC956918FFB5D6F6C1CD2E, 23.82.136.14, 443
06FCFD4791D6FA75C6FA7CF2D5D930FE41C91BF2, 185.155.223.130, 9100
06FCFD4791D6FA75C6FA7CF2D5D930FE41C91BF2, 2a12:de40:27:14::a, 9100
0705F969B825FAE29BCEB3F692B0A4224DED82E0, 89.58.26.216, 7430
0705F969B825FAE29BCEB3F692B0A4224DED82E0, 2a03:4000:62:8:c855:23ff:fef6:50ee, 7430
070673739A5470C6042A27CF44B02EF6A46B3D98, 93.90.194.106, 9001
070673739A5470C6042A27CF44B02EF6A46B3D98, 2001:8d8:1800:208::1, 9001
070B16450940F00B3A1C88C1AD71EB20B6C61A72, 51.68.155.201, 9001
0715BB9CC7F0BD48A8DC8C6E4E8D3F9E35CFD570, 23.155.24.6, 9005
0715BB9CC7F0BD48A8DC8C6E4E8D3F9E35CFD570, 2602:2e6:0:6::, 9005
072292218C12FB46A2D613E5F5C77219AB2B8E1B, 46.226.166.145, 81
072292218C12FB46A2D613E5F5C77219AB2B8E1B, 2a12:5940:f367::3, 81
075D50331B95190A7EC58FC9C570A34761196003, 91.132.144.85, 9001
07816F5EF2E310139C2AF386E6E86BCFDCABFFAB, 193.239.232.230, 9003
07816F5EF2E310139C2AF386E6E86BCFDCABFFAB, 2a12:1e01::2, 9004
07867EC8A9994FAC87582CE8793855A1D36AD626, 107.189.7.47, 443
07867EC8A9994FAC87582CE8793855A1D36AD626, 2605:6400:30:f32b:7417:ea33:425b:9732, 443
07ACFB0801E4F74F5610F870B5FCBB5539DBCBD1, 185.129.62.63, 9001
