fingerprint, ipaddr, port
0E92BF02B3C11B0DD18301A0DE1B164A0546E36F, 193.218.118.182, 9001
0E92BF02B3C11B0DD18301A0DE1B164A0546E36F, 2a0f:e586:f:f::182, 9001
0EA36BA7380AFC4E628997289EB9E78E6984CAB7, 80.210.78.252, 9001
0ED4CA8A8E6CE2D28D6D23B20815AE3982646FCB, 104.244.72.115, 443
0ED4CA8A8E6CE2D28D6D23B20815AE3982646FCB, 2605:6400:30:f858:2704:73e1:7085:12ef, 443
0EF99182CB04B14A718EFDFCC0FA3528ED486AB5, 45.151.167.10, 9002
0EF99182CB04B14A718EFDFCC0FA3528ED486AB5, 2001:678:e3c::a, 9002
0F1C8168DFD0AADBE61BD71194D37C867FED5A21, 179.43.159.196, 9001
0F3874C18BE50B83939D09AF2F6C362D1FC6C8CD, 198.251.84.163, 80
0F3874C18BE50B83939D09AF2F6C362D1FC6C8CD, 2605:6400:30:f174:1:1:1:1, 443
0F64A062EEB86CCFD243848263CD69B708BCE805, 149.56.44.47, 443
0F8538398C61ECBE83F595E3716F7CE7E4C77B21, 104.219.232.126, 63794
0F938542D1C783D3DC0CB78CA53877290D9FB211, 212.95.50.77, 443
0FA8C6295D9D9BD1D2EB1F95026B98F74709591F, 185.220.101.31, 9001
0FA8C6295D9D9BD1D2EB1F95026B98F74709591F, 2a0b:f4c2::31, 9001
0FCEE0FA9913782208A44B96271FCFA483B04E85, 192.42.116.195, 9001
0FCEE0FA9913782208A44B96271FCFA483B04E85, 2001:67c:6ec:203:192:42:116:195, 9001
105F800FD30E637883A64EA64BC556E82C248A51, 185.220.101.13, 9001
105F800FD30E637883A64EA64BC556E82C248A51, 2a0b:f4c2::13, 9001
106E3C8FCEF8F5774B9E97732A37DACE99503636, 109.70.100.70, 9004
106E3C8FCEF8F5774B9E97732A37DACE99503636, 2a03:e600:100::70, 9004
10960410C9BBB2E3CD8B2A3C36C715C2CD07ACB4, 192.42.116.187, 9005
10960410C9BBB2E3CD8B2A3C36C715C2CD07ACB4, 2001:67c:6ec:203:192:42:116:187, 9005
10C079B536D3F682F8A1BB882DED61182646D167, 185.241.208.71, 7100
10D5A1CC50849F63A91B3DF8068F806EE3532541, 185.241.208.243, 9000
10E9A196646DA911893878A78368D67C7B46330A, 109.70.100.67, 9002
10E9A196646DA911893878A78368D67C7B46330A, 2a03:e600:100::67, 9002
1135DE744C137A47DE984E5E0E3AB73FAE606237, 109.70.100.66, 9004
1135DE744C137A47DE984E5E0E3AB73FAE606237, 2a03:e600:100::66, 9004
1137AB1F84EC2D52DFB1915717F14FF1A10EB392, 185.227.68.78, 443
114D0851404015C0265F1F4D4BA6A5E1E970E15E, 23.154.177.6, 443
114D40B14F80EA24CB9FB0DA23AA4A9798F6BF53, 185.181.61.18, 9001
114D40B14F80EA24CB9FB0DA23AA4A9798F6BF53, 2a03:94e0:ffff:185:181:61:0:18, 9001
114F6F2A3A6E8AB9AC2BD54B8C5A204C1CA5942B, 37.228.129.5, 9001
116E8D8CBC15916FB38A0C4C00A870A960C2CE03, 185.220.101.66, 9100
116E8D8CBC15916FB38A0C4C00A870A960C2CE03, 2a0b:f4c2:3::66, 9100
119D595A81A67D6C1E4D66B747717FD95225F9F8, 185.220.101.4, 9003
119D595A81A67D6C1E4D66B747717FD95225F9F8, 2a0b:f4c2::4, 9003
11A2C7E4629BC8F2AE8188CFF6421F1FBDD2A8CE, 185.220.101.42, 10042
