fingerprint, ipaddr, port
02A59412DE589A009369BCBF81E56F0D64B3B464, 2603:c020:8012:8b01:afef:180d:1d92:d3d4, 9001
02A8CCB1FB70984226231283596DA734A80E3F6F, 5.2.79.190, 9001
02B2152129686AE0BE05F3D1460591DD71C4BB15, 89.58.60.208, 9001
02B2152129686AE0BE05F3D1460591DD71C4BB15, 2a0a:4cc0:1:2e8:430:d0ff:fe16:af4f, 9001
02B4B5B92EE60D5317A0DB301175737AB8F1718A, 152.70.140.84, 9001
02C7A07B1214AA338A705EFCCA409D700F757201, 45.92.33.62, 9000
02CE9E80867C4370CBA233C184F3899FB2F3BF63, 154.26.128.243, 24564
02CE9E80867C4370CBA233C184F3899FB2F3BF63, 2407:3640:2165:5162::1, 24564
02D634ADD9B41677D2834BF2C5203B6833DE7380, 178.170.10.39, 9001
02D634ADD9B41677D2834BF2C5203B6833DE7380, 2a00:c70:130:1::529, 9001
02F4FB08CA53F806351DB2AB530448F6275A67AD, 185.220.101.166, 30166
02F4FB08CA53F806351DB2AB530448F6275A67AD, 2a0b:f4c2:1::166, 30166
02FCF62C0AD3AD1D208D7F27E12E8840EF53C7E0, 45.141.215.97, 7430
03000EDDFEB7DB6A4171D09D2DF028ADA6B27DEE, 192.42.116.179, 9001
03000EDDFEB7DB6A4171D09D2DF028ADA6B27DEE, 2001:67c:6ec:203:192:42:116:179, 9001
030B59F0D25752E6C2332E3F7B14746EE6B16D16, 77.68.100.112, 25128
030B59F0D25752E6C2332E3F7B14746EE6B16D16, 2a00:da00:1800:837c::1, 25128
0315A29DF525D7E8B72A9909258FE9B045C4E640, 37.97.207.68, 9001
0315A29DF525D7E8B72A9909258FE9B045C4E640, 2a01:7c8:aac3:22a:a018:d548:39d9:fba3, 9001
03167E156F3D1E8FFD1CB7C7C9D086027DA49E3D, 94.72.118.123, 6666
0318F32C914B86718C0AFAB8B690AF559C38DD7A, 80.64.218.59, 443
0318F32C914B86718C0AFAB8B690AF559C38DD7A, 2a0e:1bc1:56:1000::6359:cd95, 443
031C40EC2C8C861740DC845F5E8888368CE5FA56, 93.95.225.141, 9001
0321C0C3E51DA94199706CA42F5794B607E395B9, 89.147.110.154, 9002
032E18F26B35047A20EB1F0E480D0DFD3D8AB6E2, 23.137.249.227, 443
032E18F26B35047A20EB1F0E480D0DFD3D8AB6E2, 2602:fc24:11:66c4::1, 443
03465D21A22B24B242301471D5AA11E4E0E0C915, 193.26.115.61, 8430
034ED155E6DA8277BC7F294896BFD7013D7BD7B0, 77.91.86.95, 443
034ED155E6DA8277BC7F294896BFD7013D7BD7B0, 2a0e:d602:2:2a2::2, 443
035F813195F0CB9F567EDFDF60C6745CA36BA0BD, 107.189.8.226, 9000
035F813195F0CB9F567EDFDF60C6745CA36BA0BD, 2605:6400:30:f805:1e96:b223:fbe5:cfac, 9000
0360B7E6E805D1040EA54FA79882D16222E6806F, 82.7.89.242, 9001
0360BD8AF75DDC49FA1B60978F4B5F5D1B16BB49, 77.91.74.149, 636
036EFD2E61DEA3D2FEE59861BA4245E4DE864112, 193.189.100.202, 443
036EFD2E61DEA3D2FEE59861BA4245E4DE864112, 2a0f:df00:0:255::202, 443
0371E4EC901C4FC77FEA2AA5BE4218F0BE1F6CE3, 209.58.180.236, 9001
037BCD0EBDF7DB9F3D562DA27D463F0F78F1494B, 37.120.171.188, 443
037BCD0EBDF7DB9F3D562DA27D463F0F78F1494B, 2a03:4000:6:543b::443, 443
037C1DFCEE2E319CC512944A1A7A5700522ABF1F, 139.162.86.33, 5671
037C1DFCEE2E319CC512944A1A7A5700522ABF1F, 2400:8902::f03c:93ff:fe12:145d, 5671
037FF23B7D09A6044AA30B0AEA134FFEBC9A231A, 185.220.101.78, 9000
037FF23B7D09A6044AA30B0AEA134FFEBC9A231A, 2a0b:f4c2:3::78, 9000
0387FC64EFFD7FF584B818A790362B3EECF8BBA5, 94.103.124.107, 9200
0387FC64EFFD7FF584B818A790362B3EECF8BBA5, 2a05:b0c7:6841::1, 9200
038B2A774C859796FC11D26DB7F16494708F7749, 185.243.218.89, 8443
038B2A774C859796FC11D26DB7F16494708F7749, 2a03:94e0:ffff:185:243:218:0:89, 8443
038C30D2AD053147C91EFB1291527ED621D7D1B1, 82.221.131.71, 443
039003C320D9980E0A740F107A1A9C13C99C5FE3, 45.79.159.52, 9001
039003C320D9980E0A740F107A1A9C13C99C5FE3, 2600:3c03::f03c:91ff:fe8d:a3a, 9001
03A2ECF52CFA74E0DBFF823E0CDFC799CDB72F0E, 45.61.184.47, 443
03A33C3454FC0F9AC6966F12FA486999F5A22896, 96.66.15.152, 9001
03A3FD57D603CD943128115E5AEBE20A4EEA984C, 88.216.223.2, 143
03A3FD57D603CD943128115E5AEBE20A4EEA984C, 2a0e:97c0:0:1::1, 143
03B29BA87FC61A4CE624DBF36387D85761F816E7, 143.179.150.5, 9001
03B9585A46122C21774B3096664A8A2140BF5635, 89.58.55.205, 9001
03BAAC87560E85B282A94FA69128E00438663511, 46.148.26.44, 9001
03BD56B5072FB07D2B4D79E2FB04366D415EF3EC, 163.172.76.56, 9001
03BE73E581F99EFFF19AB582EF0C7E8E6531CEDA, 85.215.91.150, 9001
03C2A5E0A8AA8FACCEC4C48D4D995079AC664EF7, 70.81.244.103, 9001
03C3069E814E296EB18776EB61B1ECB754ED89FE, 81.7.10.193, 993
03C3069E814E296EB18776EB61B1ECB754ED89FE, 2a02:180:6:1::2f16, 993
03C794401A92F2F033AD5DFB2FC005D445910654, 185.163.45.212, 443
03CB58CC506894147FFABAF43F6A84C52BDFCECA, 185.104.194.129, 443
03CCD8C021B75030122B48E5665A86E199EC989C, 109.70.100.6, 9000
03CCD8C021B75030122B48E5665A86E199EC989C, 2a03:e600:100::6, 9000
03D1EF3EF2BE5145150C58ACC72519DD860E61BA, 136.243.3.194, 8000
03D1EF3EF2BE5145150C58ACC72519DD860E61BA, 2a01:4f8:211:1d41::2, 8000
03D2EFFBA2132DD4310DA12B78554723323AC044, 91.206.228.120, 989
03DA20FD71CED188C8B7652E81941C506724DBA6, 198.74.57.57, 443
03E107A3663E912664F4A934DFF451262C218357, 94.100.6.72, 443
03E245B5CCA337284891026FBD90DAD1B37F6BBB, 45.129.199.163, 9001
03E245B5CCA337284891026FBD90DAD1B37F6BBB, 2a10:1fc0:1::d717:cb95, 9001
03E9F7E669C8F911C5EEC3EC094533151F857420, 217.155.40.118, 9001
03E9F7E669C8F911C5EEC3EC094533151F857420, 2a02:8010:60a1:2013::1, 9001
03F26766F14B0B7B5D22461083807D313429A34F, 5.196.71.24, 9001
03F26766F14B0B7B5D22461083807D313429A34F, 2001:41d0:e:418::1, 9001
040085FFE1E88CF48AB0B5B2AB39035758C65F0C, 159.69.71.58, 9001
0403BD88235C49F4C0672F213912FCB3A2B93DCC, 192.42.116.217, 9003
0403BD88235C49F4C0672F213912FCB3A2B93DCC, 2001:67c:6ec:203:192:42:116:217, 9003
04045B9662E1629B3681B1F8F96E96F1A6373B80, 146.19.168.223, 9200
04045B9662E1629B3681B1F8F96E96F1A6373B80, 2a04:ecc0:8:a8:4567:152:0:1, 9200
0409605E8343562A790FFE846CB3BD7C04429F70, 158.69.204.36, 443
040D6001435CDAA8D3DAE2EE51CF2F48C4530E76, 177.104.142.225, 443
04102613D8F998E956A7868D2DE5A532EE2473EA, 207.244.78.230, 443
041646640AB306EA74B001966E86169B04CC88D2, 199.249.230.79, 443
041646640AB306EA74B001966E86169B04CC88D2, 2620:7:6001::ffff:c759:e64f, 80
042944E139508E6A8495AA1F6F320D1087D84930, 80.67.172.162, 4443
042944E139508E6A8495AA1F6F320D1087D84930, 2001:910:1400:107::2, 4443
042BCDF2D36D7AEE070E086DAD4B57F27B2F1143, 66.175.235.244, 443
0432BEE829FCB155CE92CF418B7280F9849E12D0, 77.109.152.87, 143
0432BEE829FCB155CE92CF418B7280F9849E12D0, 2a02:168:6426::11, 143
0438B5679D52CD10756924D425FDE03B40840304, 75.223.82.98, 9001
0439AB73BB2B8730FCB15B18252928FC0C2EDF91, 95.216.22.87, 4080
0439AB73BB2B8730FCB15B18252928FC0C2EDF91, 2a01:4f9:2a:16a8::2, 4080
04407CF31C2C93CE891C7E50D52FB12905FFB3B5, 77.237.52.14, 443
04407CF31C2C93CE891C7E50D52FB12905FFB3B5, 2a01:191::, 443
044428D910C037932A0763BB089769943F6BA648, 198.251.84.163, 443
044428D910C037932A0763BB089769943F6BA648, 2605:6400:30:f174:1:2:3:4, 443
044C71B7572185A3CCAD4FE4B0647A734CC95C31, 3.25.173.25, 443
044C71B7572185A3CCAD4FE4B0647A734CC95C31, 2406:da1c:986:7900:f600:fbea:70b8:801b, 443
045078C44A22F5DBA5DDAAC004A8337462C471BA, 15.204.227.208, 9200
045078C44A22F5DBA5DDAAC004A8337462C471BA, 2604:2dc0:101:200::1b3f, 9200
045BBCA9602A22C112984F25003CD4897CFFB9E5, 185.229.90.81, 443
045BBCA9602A22C112984F25003CD4897CFFB9E5, 2001:1680:101:43f::1, 443
046A2841A526E3D5690ED33D568E9891C39503D8, 190.211.254.210, 9001
046A537DEFDA4B36A141A50DEB16939946D82C0F, 174.126.210.214, 9001
046F2D59A85FAE693676A87533717C57436261C2, 65.21.195.87, 9001
04749CD6A6BE1C0B14EE63DFD0F13EEB9EFEE8AB, 185.220.101.51, 10051
04749CD6A6BE1C0B14EE63DFD0F13EEB9EFEE8AB, 2a0b:f4c2:2::51, 10051
04762BE4CA604EA28AAD95AA2A9B96D35C01D0FE, 98.128.175.69, 443
04762BE4CA604EA28AAD95AA2A9B96D35C01D0FE, 2001:9b1:26fe:c700:786a:5f14:ca5f:7b6c, 443
0485027A0A349D454D978F6C1CECDD29EA17769A, 192.42.116.17, 443
0485027A0A349D454D978F6C1CECDD29EA17769A, 2001:67c:6ec:203:218:33ff:fe44:5517, 443
0488C4D35979208238DC56977DFE0F2CC39BCC22, 71.34.86.80, 9001
048B9A44712BDC2B896691E37B2B62C4A81D4DE5, 82.223.165.239, 443
048B9A44712BDC2B896691E37B2B62C4A81D4DE5, 2001:ba0:1800:81dc::1, 443
049298986477A89407AA70311645D0497F1E0FE1, 146.19.213.39, 443
049298986477A89407AA70311645D0497F1E0FE1, 2001:678:6d4:9114::11c, 443
049852A10805835E9AB2C551D6C438BE6DE8B24C, 193.218.118.180, 9001
049852A10805835E9AB2C551D6C438BE6DE8B24C, 2a0f:e586:f:f::180, 9001
04A4B19239491644A7F4CF5702EAE84FC0620E78, 185.220.101.182, 30182
04A4B19239491644A7F4CF5702EAE84FC0620E78, 2a0b:f4c2:1::182, 30182
04B94F428D4E9B77ABC2AC76AE09315C5BF5CF97, 79.116.2.90, 9001
04C9F15F3ADA047BA3A0EDA082678C57FEF20AC3, 50.71.206.206, 9001
04CC92676D9A6C6A851DAB04F54709E9630EA8F2, 45.158.77.29, 9300
04CC92676D9A6C6A851DAB04F54709E9630EA8F2, 2a04:ecc0:8:a8:4567:491:0:1, 9300
04D50494BD2E4B3913489062303442BC9D5CC0C7, 192.42.116.199, 9002
04D50494BD2E4B3913489062303442BC9D5CC0C7, 2001:67c:6ec:203:192:42:116:199, 9002
04D61D5E5FFEBEED22BB6E8068EDC2E119CD6864, 68.71.25.194, 9001
04DAB3B5205C0EE19A702EBAFBBBC7AD21C24805, 85.239.34.24, 9001
04DFE047ACDF7A6620ACA782FAFC5EF1AE7F4754, 46.22.212.230, 443
04E3B5925EB5F66C6EC810A3D7702E0CA3F9D5E7, 95.216.136.46, 9001
04E3B5925EB5F66C6EC810A3D7702E0CA3F9D5E7, 2a01:4f9:c010:2e::1, 9001
04EA8C169CD0F108AACE4F0E54F6202A2F8B41A3, 217.28.62.164, 443
04EE5E1B23127D26A36F71C66810D88B0B80BB91, 91.213.233.138, 443
04FA76645DC5B794E2A088D58ABD5C5153A2CD23, 185.148.1.169, 443
0501011B32C77C3FFE68DC4B3E40FC5D27F9501B, 178.254.44.163, 5126
050A1245EEC76B7438337BAAF19F4AB0666B375F, 185.220.101.15, 9001
050A1245EEC76B7438337BAAF19F4AB0666B375F, 2a0b:f4c2::15, 9001
050A7B26C0CACA6AE9A37B5E342B3D5CC56C790A, 185.206.146.238, 9001
050A7B26C0CACA6AE9A37B5E342B3D5CC56C790A, 2a07:5741:0:504::1, 9001
0516085D6CAC40ED4CDCEFDFC5CCF6B00DE61DED, 185.195.71.9, 443
052848D49E213DE9F85C8721E138DAABA2DE08C8, 45.9.150.130, 9001
054532B307386E91683D8F47522871E2FEADD8EF, 89.147.110.36, 9001
054AF5AE5DA4AA0B81D7155542AF204252CB6D61, 150.230.20.28, 9001
054AF5AE5DA4AA0B81D7155542AF204252CB6D61, 2603:c022:c002:b0e:f620:461d:1cc1:fa75, 9001
055AB95A2AEF35E0002F529D86D76B03367A4A88, 5.181.80.63, 9001
055E80BB136455C323FA75B99480E6E9680F39D5, 178.175.131.141, 6564
056300E80B971F216DD746217CF7E95D02551880, 185.220.101.185, 11185
05681A9767834D9EDA9BDFE4E15A1BD73C4FDFCF, 109.236.83.11, 46810
05733EF816DCCF2811D8A67560C3654932E110BD, 107.189.10.138, 9001
0577DE2890FB909C459E056CD41414A8C6C110D3, 96.255.23.226, 9003
05801F8D746ECD259629CA8BDFAB27019ED22AC8, 205.185.113.66, 443
0580E0CF9EED87DBB92F8C924A77424D85EEEE1A, 82.153.138.153, 9001
0582582DFE6C4CF987A618B1AB4AC639AED90D6E, 167.235.249.14, 443
0582582DFE6C4CF987A618B1AB4AC639AED90D6E, 2a01:4f8:c17:cff9::1, 443
058B34B7D0E4A08AD7535D07A37AA19C8B829E1E, 141.147.117.168, 9001
0592215141240DD9854247C9E162A72E3A64834A, 67.219.107.200, 443
0592215141240DD9854247C9E162A72E3A64834A, 2401:c080:2000:2617:3eec:efff:feb9:c84e, 443
059B6887892EF5999016D7002A724DC2BAEDA513, 95.211.7.148, 9001
059D7E096C6AC7CED321EE93D77DA26ABD989BFF, 51.81.209.9, 9001
059D7E096C6AC7CED321EE93D77DA26ABD989BFF, 2604:2dc0:202:300::40e, 9001
05A48DCB220236FCCA21B432C3D4A1FCE8AFCEEB, 178.20.55.16, 9001
05A48DCB220236FCCA21B432C3D4A1FCE8AFCEEB, 2a00:1b88:4::2, 9001
05B142AB4FCBC01482B9C8F6588B221C2E193EEF, 121.50.43.135, 443
05BEC77F40DEC72C57CBCD3DD30439E859B8E52B, 81.20.143.138, 9001
05C32C5EE14454E0C4CD81DAE0F3DC32F729DA4B, 144.76.86.5, 8080
05C32C5EE14454E0C4CD81DAE0F3DC32F729DA4B, 2a01:4f8:192:1318::2, 8080
05C621B44EF6833889AE7B7E2A0B476569C47E37, 193.135.10.219, 59999
05C621B44EF6833889AE7B7E2A0B476569C47E37, 2a0a:51c0:0:136::2, 59999
05CC8826920ED353BEEE5E59FDB5697D4F5B77E7, 192.18.159.101, 9001
05CC8826920ED353BEEE5E59FDB5697D4F5B77E7, 2603:c021:1:e6ee:7956:dfc6:e4f4:dcb, 9001
05D2B4678A1C9BDBB5D1D078F6813CA9712A8384, 133.242.146.78, 9001
